"ประทับเวลา","เพศ","อายุ","Member BNK48 คนใดที่ท่านชอบ","โปรดให้คะแนนขององค์ประกอบ ในร่างกาย(โดยรวม)ของ Member BNK48 ที่ท่านชอบ [ตา]","โปรดให้คะแนนขององค์ประกอบ ในร่างกาย(โดยรวม)ของ Member BNK48 ที่ท่านชอบ [จมูก]","โปรดให้คะแนนขององค์ประกอบ ในร่างกาย(โดยรวม)ของ Member BNK48 ที่ท่านชอบ [คาง]","โปรดให้คะแนนขององค์ประกอบ ในร่างกาย(โดยรวม)ของ Member BNK48 ที่ท่านชอบ [ปาก]","โปรดให้คะแนนขององค์ประกอบ ในร่างกาย(โดยรวม)ของ Member BNK48 ที่ท่านชอบ [สัดส่วน]","โปรดให้คะแนนขององค์ประกอบ ในร่างกาย(โดยรวม)ของ Member BNK48 ที่ท่านชอบ [ส่วนสูง]","โปรดให้คะแนนขององค์ประกอบ ในร่างกาย(โดยรวม)ของ Member BNK48 ที่ท่านชอบ [รอบเอว]","โปรดให้คะแนนขององค์ประกอบ ในร่างกาย(โดยรวม)ของ Member BNK48 ที่ท่านชอบ [น้ำหนัก]","โปรดให้คะแนนของ โครงหน้า Member BNK48 ตามรายการด้านล่าง [Cherprang]","โปรดให้คะแนนของ โครงหน้า Member BNK48 ตามรายการด้านล่าง [Pun]","โปรดให้คะแนนของ โครงหน้า Member BNK48 ตามรายการด้านล่าง [Orn]","โปรดให้คะแนนของ โครงหน้า Member BNK48 ตามรายการด้านล่าง [Jennis]","โปรดให้คะแนนของ โครงหน้า Member BNK48 ตามรายการด้านล่าง [Noey]","โปรดให้คะแนนของ โครงหน้า Member BNK48 ตามรายการด้านล่าง [Mobile]","โปรดให้คะแนนของ โครงหน้า Member BNK48 ตามรายการด้านล่าง [Music]","โปรดให้คะแนนของโครงหน้า ส่วนหู  Member BNK48 ตามรายการด้านล่าง [Cherprang]","โปรดให้คะแนนของโครงหน้า ส่วนหู  Member BNK48 ตามรายการด้านล่าง [Pun]","โปรดให้คะแนนของโครงหน้า ส่วนหู  Member BNK48 ตามรายการด้านล่าง [Orn]","โปรดให้คะแนนของโครงหน้า ส่วนหู  Member BNK48 ตามรายการด้านล่าง [Jennis]","โปรดให้คะแนนของโครงหน้า ส่วนหู  Member BNK48 ตามรายการด้านล่าง [Noey]","โปรดให้คะแนนของโครงหน้า ส่วนหู  Member BNK48 ตามรายการด้านล่าง [Mobile]","โปรดให้คะแนนของโครงหน้า ส่วนหู  Member BNK48 ตามรายการด้านล่าง [Music]","โปรดให้คะแนนของโครงหน้า ส่วนตา  Member BNK48 ตามรายการด้านล่าง [Cherprang]","โปรดให้คะแนนของโครงหน้า ส่วนตา  Member BNK48 ตามรายการด้านล่าง [Pun]","โปรดให้คะแนนของโครงหน้า ส่วนตา  Member BNK48 ตามรายการด้านล่าง [Orn]","โปรดให้คะแนนของโครงหน้า ส่วนตา  Member BNK48 ตามรายการด้านล่าง [Jennis]","โปรดให้คะแนนของโครงหน้า ส่วนตา  Member BNK48 ตามรายการด้านล่าง [Noey]","โปรดให้คะแนนของโครงหน้า ส่วนตา  Member BNK48 ตามรายการด้านล่าง [Mobile]","โปรดให้คะแนนของโครงหน้า ส่วนตา  Member BNK48 ตามรายการด้านล่าง [Music]","โปรดให้คะแนนของโครงหน้า ส่วนจมูก  Member BNK48 ตามรายการด้านล่าง [Cherprang]","โปรดให้คะแนนของโครงหน้า ส่วนจมูก  Member BNK48 ตามรายการด้านล่าง [Pun]","โปรดให้คะแนนของโครงหน้า ส่วนจมูก  Member BNK48 ตามรายการด้านล่าง [Orn]","โปรดให้คะแนนของโครงหน้า ส่วนจมูก  Member BNK48 ตามรายการด้านล่าง [Jennis]","โปรดให้คะแนนของโครงหน้า ส่วนจมูก  Member BNK48 ตามรายการด้านล่าง [Noey]","โปรดให้คะแนนของโครงหน้า ส่วนจมูก  Member BNK48 ตามรายการด้านล่าง [Mobile]","โปรดให้คะแนนของโครงหน้า ส่วนจมูก  Member BNK48 ตามรายการด้านล่าง [Music]","โปรดให้คะแนนของโครงหน้า ส่วนปาก Member BNK48 ตามรายการด้านล่าง [Cherprang]","โปรดให้คะแนนของโครงหน้า ส่วนปาก Member BNK48 ตามรายการด้านล่าง [Pun]","โปรดให้คะแนนของโครงหน้า ส่วนปาก Member BNK48 ตามรายการด้านล่าง [Orn]","โปรดให้คะแนนของโครงหน้า ส่วนปาก Member BNK48 ตามรายการด้านล่าง [Jennis]","โปรดให้คะแนนของโครงหน้า ส่วนปาก Member BNK48 ตามรายการด้านล่าง [Noey]","โปรดให้คะแนนของโครงหน้า ส่วนปาก Member BNK48 ตามรายการด้านล่าง [Mobile]","โปรดให้คะแนนของโครงหน้า ส่วนปาก Member BNK48 ตามรายการด้านล่าง [Music]","โปรดให้คะแนนของโครงหน้า ส่วนคิ้ว Member BNK48 ตามรายการด้านล่าง [Cherprang]","โปรดให้คะแนนของโครงหน้า ส่วนคิ้ว Member BNK48 ตามรายการด้านล่าง [Pun]","โปรดให้คะแนนของโครงหน้า ส่วนคิ้ว Member BNK48 ตามรายการด้านล่าง [Orn]","โปรดให้คะแนนของโครงหน้า ส่วนคิ้ว Member BNK48 ตามรายการด้านล่าง [Jennis]","โปรดให้คะแนนของโครงหน้า ส่วนคิ้ว Member BNK48 ตามรายการด้านล่าง [Noey]","โปรดให้คะแนนของโครงหน้า ส่วนคิ้ว Member BNK48 ตามรายการด้านล่าง [Mobile]","โปรดให้คะแนนของโครงหน้า ส่วนคิ้ว Member BNK48 ตามรายการด้านล่าง [Music]","โปรดให้คะแนนของโครงหน้า ส่วนคาง Member BNK48 ตามรายการด้านล่าง [Cherprang]","โปรดให้คะแนนของโครงหน้า ส่วนคาง Member BNK48 ตามรายการด้านล่าง [Pun]","โปรดให้คะแนนของโครงหน้า ส่วนคาง Member BNK48 ตามรายการด้านล่าง [Orn]","โปรดให้คะแนนของโครงหน้า ส่วนคาง Member BNK48 ตามรายการด้านล่าง [Jennis]","โปรดให้คะแนนของโครงหน้า ส่วนคาง Member BNK48 ตามรายการด้านล่าง [Noey]","โปรดให้คะแนนของโครงหน้า ส่วนคาง Member BNK48 ตามรายการด้านล่าง [Mobile]","โปรดให้คะแนนของโครงหน้า ส่วนคาง Member BNK48 ตามรายการด้านล่าง [Music]","โปรดให้คะแนนของ สัดส่วน(อก-เอว-สะโพก) Member BNK48 ตามรายการด้านล่าง [Cherprang]","โปรดให้คะแนนของ สัดส่วน(อก-เอว-สะโพก) Member BNK48 ตามรายการด้านล่าง [Pun]","โปรดให้คะแนนของ สัดส่วน(อก-เอว-สะโพก) Member BNK48 ตามรายการด้านล่าง [Orn]","โปรดให้คะแนนของ สัดส่วน(อก-เอว-สะโพก) Member BNK48 ตามรายการด้านล่าง [Jennis]","โปรดให้คะแนนของ สัดส่วน(อก-เอว-สะโพก) Member BNK48 ตามรายการด้านล่าง [Noey]","โปรดให้คะแนนของ สัดส่วน(อก-เอว-สะโพก) Member BNK48 ตามรายการด้านล่าง [Mobile]","โปรดให้คะแนนของ สัดส่วน(อก-เอว-สะโพก) Member BNK48 ตามรายการด้านล่าง [Music]","ส่วนสูง ของ Member ที่ท่านชอบอยู่ในช่วงใด","น้ำหนัก ของ Member ที่ท่านชอบอยู่ในช่วงใด","เอว ของ Member ที่ท่านชอบอยู่ในช่วงใด","โปรดเลือกปัจจัยที่มีผลกับความสนใจในสมาชิกวง BNK48"
"2561/10/16 10:09:36 หลังเที่ยง GMT+7","ชาย","24","Cherprang","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","156-160","41-45","23-25","ขี้อ้อน"
"2561/10/17 9:17:15 ก่อนเที่ยง GMT+7","หญิง","24","Music","3","3","4","3","5","3","4","3","4","3","4","3","3","3","4","4","4","3","3","4","3","4","4","4","3","3","3","4","5","3","4","4","4","3","4","3","3","4","3","3","3","4","4","4","4","3","4","4","4","4","4","4","3","3","3","4","4","4","4","4","5","5","4","4","161-165","46-50","26-28","ร่าเริงสดใส"
"2561/10/17 9:17:33 ก่อนเที่ยง GMT+7","หญิง","25","Cherprang","5","4","4","5","5","5","5","5","5","4","5","4","4","4","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","5","4","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","161-165","41-45","23-25","ร่าเริงสดใส"
"2561/10/17 9:18:39 ก่อนเที่ยง GMT+7","ชาย","25","Jennis","4","4","3","3","5","3","4","2","5","3","4","5","3","3","4","5","5","5","3","3","4","4","4","3","3","4","5","4","4","5","3","4","4","4","3","3","5","5","3","3","4","3","3","4","3","3","5","3","4","4","3","4","3","4","4","3","4","5","2","5","5","3","3","4","156-160","46-50","29-31","เซ็กซี่"
"2561/10/17 9:19:46 ก่อนเที่ยง GMT+7","ชาย","26","Orn","5","3","5","5","3","4","3","3","5","4","4","5","3","3","4","3","3","3","3","3","3","3","4","2","5","5","4","3","5","5","5","5","5","4","5","5","2","4","4","4","2","2","5","4","5","4","5","4","4","4","4","4","4","4","4","4","4","5","1","5","4","3","3","5","156-160","46-50","26-28","ขี้อ้อน"
"2561/10/17 9:21:08 ก่อนเที่ยง GMT+7","หญิง","22","Cherprang","5","3","3","4","4","4","4","4","5","4","4","5","5","4","4","4","3","4","3","4","3","4","5","3","4","5","5","4","4","4","4","4","5","4","4","4","4","4","4","4","4","4","4","3","3","3","3","3","3","3","3","3","3","4","3","3","3","5","5","5","5","5","5","5","156-160","41-45","23-25","แข็งแกร่ง"
"2561/10/17 9:23:12 ก่อนเที่ยง GMT+7","ชาย","28","Pun","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","161-165","41-45","23-25","ร่าเริงสดใส"
"2561/10/17 9:25:13 ก่อนเที่ยง GMT+7","หญิง","25","Cherprang","3","3","3","3","3","3","3","3","4","2","3","3","4","4","3","3","3","3","3","3","3","3","3","1","4","2","4","4","2","3","3","3","3","3","3","3","4","3","4","2","4","2","2","3","3","3","3","3","3","3","3","3","3","3","3","3","3","4","4","4","2","3","3","2","166-170","46-50","26-28","แมน"
"2561/10/17 9:26:21 ก่อนเที่ยง GMT+7","ชาย","มากกว่า 45","Jennis","5","5","5","5","5","5","5","5","4","4","4","5","4","4","4","4","4","2","5","4","4","4","4","3","4","5","4","3","3","4","3","4","5","3","3","3","3","3","3","5","5","3","3","2","2","1","5","2","2","2","3","3","3","5","3","3","3","5","2","5","5","3","3","5","161-165","46-50","26-28","ร่าเริงสดใส"
"2561/10/17 9:32:30 ก่อนเที่ยง GMT+7","หญิง","25","Cherprang","4","3","3","3","3","3","3","3","4","2","3","4","3","3","3","3","2","3","3","3","3","3","4","2","3","3","3","3","3","3","2","3","3","3","3","3","3","2","3","3","3","3","3","4","2","3","3","3","3","3","3","2","3","3","3","3","3","3","3","3","3","3","3","3","161-165","46-50","23-25","ร่าเริงสดใส"
"2561/10/17 9:37:18 ก่อนเที่ยง GMT+7","หญิง","25","Pun","4","3","4","4","4","4","4","4","4","5","4","4","4","4","4","4","4","3","4","4","4","4","4","3","4","4","4","4","4","4","4","3","3","4","4","3","4","4","4","4","3","4","4","4","4","4","3","4","3","4","3","4","4","3","3","4","4","3","3","4","4","3","3","4","156-160","41-45","23-25","ร่าเริงสดใส"
"2561/10/17 9:40:25 ก่อนเที่ยง GMT+7","ชาย","37","Cherprang","5","3","3","5","5","3","3","4","5","4","3","4","4","3","3","5","5","3","4","3","3","2","5","5","2","3","3","2","2","5","2","5","5","3","3","2","5","5","5","4","3","2","2","5","5","5","4","3","2","1","5","5","5","4","3","2","2","5","5","3","4","4","5","5","156-160","46-50","23-25","ร่าเริงสดใส"
"2561/10/17 9:40:45 ก่อนเที่ยง GMT+7","ชาย","28","Cherprang","5","5","5","5","5","5","5","5","3","2","3","2","2","3","3","3","3","3","3","3","3","3","3","2","3","2","2","3","3","3","1","3","1","2","2","3","3","3","3","3","3","3","3","3","3","3","2","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","156-160","46-50","23-25","น่ารัก"
"2561/10/17 9:42:40 ก่อนเที่ยง GMT+7","หญิง","24","Noey","5","5","2","5","5","4","4","4","3","3","3","4","4","3","3","4","4","4","4","5","4","4","4","4","3","3","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","4","4","4","4","4","4","4","161-165","41-45","26-28","น่ารัก"
"2561/10/17 9:45:27 ก่อนเที่ยง GMT+7","หญิง","22","Orn","4","5","4","4","3","5","3","3","4","2","4","4","2","2","4","5","3","3","5","4","4","5","5","2","4","5","4","3","5","5","3","4","5","4","4","4","3","2","3","3","1","4","3","4","3","5","5","3","5","4","5","5","5","5","5","5","5","2","3","5","3","3","5","4","161-165","46-50","23-25","น่ารัก"
"2561/10/17 10:11:01 ก่อนเที่ยง GMT+7","หญิง","24","Cherprang","5","4","4","4","5","4","4","4","5","4","5","5","4","4","5","4","4","4","4","4","4","4","5","3","4","5","5","5","5","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","5","4","5","4","5","4","5","156-160","41-45","23-25","น่ารัก"
"2561/10/17 10:21:00 ก่อนเที่ยง GMT+7","หญิง","20","Cherprang","3","5","3","3","4","4","4","4","4","3","3","3","4","4","4","5","5","5","5","4","4","5","4","4","5","5","5","5","5","5","4","5","5","5","5","5","5","4","4","4","4","4","4","5","5","5","5","5","5","5","4","4","4","4","5","5","5","5","4","5","5","4","4","4","161-165","46-50","23-25","น่ารัก"
"2561/10/17 10:40:11 ก่อนเที่ยง GMT+7","ชาย","24","Cherprang","4","4","4","4","3","3","3","4","1","1","2","2","2","2","1","1","1","1","1","1","1","1","1","2","2","1","2","2","2","1","1","1","1","1","1","1","2","1","1","1","2","2","1","1","1","1","2","1","1","1","1","2","2","2","2","1","1","2","1","2","2","1","1","1","156-160","41-45","26-28","เป็นผู้นำ"
"2561/10/17 10:46:39 ก่อนเที่ยง GMT+7","หญิง","27","Cherprang","5","3","3","3","3","3","3","3","5","3","3","5","3","3","3","3","3","3","3","3","3","3","5","3","4","3","3","3","3","4","3","4","4","3","3","3","4","3","3","3","3","3","3","4","3","3","4","3","3","3","5","3","3","4","3","3","3","4","3","4","4","3","3","3","161-165","51-55","26-28","เป็นผู้นำ"
